key,Current_status,Created,historyid,Status_Date,Step_Status,Tostep_Status,Issue_type
RTICSD-245,Concluído,2020-06-18T15:15:53.780-0300,3603623,2020-06-22T11:08:47.470-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-244,Concluído,2020-06-18T15:07:24.022-0300,3587075,2020-06-18T19:32:37.903-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-244,Concluído,2020-06-18T15:07:24.022-0300,3595955,2020-06-19T16:50:36.373-0300,In Progress,Done,Report an Integration Problem - Integrations CPG
RTICSD-243,Concluído,2020-06-18T15:01:22.447-0300,3587153,2020-06-18T19:39:18.907-0300,Backlog,In Progress,Add New Store Type for Integration - Integration CPG
RTICSD-243,Concluído,2020-06-18T15:01:22.447-0300,3587156,2020-06-18T19:39:23.165-0300,In Progress,QA,Add New Store Type for Integration - Integration CPG
RTICSD-243,Concluído,2020-06-18T15:01:22.447-0300,3590944,2020-06-19T10:41:51.722-0300,QA,Done,Add New Store Type for Integration - Integration CPG
RTICSD-242,Concluído,2020-06-18T14:38:15.226-0300,3587196,2020-06-18T19:41:46.038-0300,Backlog,In Progress,Add New Stores to Integrations CPG
RTICSD-242,Concluído,2020-06-18T14:38:15.226-0300,3587197,2020-06-18T19:41:48.887-0300,In Progress,QA,Add New Stores to Integrations CPG
RTICSD-242,Concluído,2020-06-18T14:38:15.226-0300,3600832,2020-06-19T20:42:55.081-0300,QA,Done,Add New Stores to Integrations CPG
RTICSD-241,Concluído,2020-06-18T14:16:14.587-0300,3584875,2020-06-18T17:29:14.783-0300,Backlog,In Progress,Add New Stores to Integrations CPG
RTICSD-241,Concluído,2020-06-18T14:16:14.587-0300,3585177,2020-06-18T17:49:53.532-0300,In Progress,Waiting for response,Add New Stores to Integrations CPG
RTICSD-241,Concluído,2020-06-18T14:16:14.587-0300,3591320,2020-06-19T11:21:16.391-0300,Waiting for response,QA,Add New Stores to Integrations CPG
RTICSD-241,Concluído,2020-06-18T14:16:14.587-0300,3591321,2020-06-19T11:21:18.790-0300,QA,Done,Add New Stores to Integrations CPG
RTICSD-240,Concluído,2020-06-18T13:54:10.613-0300,3586848,2020-06-18T19:14:42.441-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-240,Concluído,2020-06-18T13:54:10.613-0300,3587554,2020-06-18T20:05:20.614-0300,In Progress,Done,Report an Integration Problem - Integrations CPG
RTICSD-239,Concluído,2020-06-18T12:54:39.974-0300,3580646,2020-06-18T13:00:04.940-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-239,Concluído,2020-06-18T12:54:39.974-0300,3580889,2020-06-18T13:17:06.831-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-239,Concluído,2020-06-18T12:54:39.974-0300,3584412,2020-06-18T17:03:01.801-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-239,Concluído,2020-06-18T12:54:39.974-0300,3584413,2020-06-18T17:03:04.999-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-238,Concluído,2020-06-18T12:32:25.827-0300,3581901,2020-06-18T14:22:43.698-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-238,Concluído,2020-06-18T12:32:25.827-0300,3581904,2020-06-18T14:22:46.434-0300,In Progress,Done,Report an Integration Problem - Integrations CPG
RTICSD-237,Concluído,2020-06-18T11:34:02.442-0300,3581921,2020-06-18T14:24:11.215-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-237,Concluído,2020-06-18T11:34:02.442-0300,3581932,2020-06-18T14:24:43.775-0300,In Progress,Done,Report an Integration Problem - Integrations CPG
RTICSD-236,Concluído,2020-06-17T22:15:34.531-0300,3579643,2020-06-18T11:57:36.890-0300,Backlog,In Progress,Add New Stores to Integrations CPG
RTICSD-236,Concluído,2020-06-17T22:15:34.531-0300,3579692,2020-06-18T11:59:32.016-0300,In Progress,Waiting for response,Add New Stores to Integrations CPG
RTICSD-236,Concluído,2020-06-17T22:15:34.531-0300,3597001,2020-06-19T17:49:37.971-0300,Waiting for response,QA,Add New Stores to Integrations CPG
RTICSD-236,Concluído,2020-06-17T22:15:34.531-0300,3597013,2020-06-19T17:50:15.191-0300,QA,Done,Add New Stores to Integrations CPG
RTICSD-234,Concluído,2020-06-17T21:19:17.809-0300,3576498,2020-06-17T22:00:17.887-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-234,Concluído,2020-06-17T21:19:17.809-0300,3576532,2020-06-17T22:04:22.403-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-234,Concluído,2020-06-17T21:19:17.809-0300,3654969,2020-06-26T12:46:47.007-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-234,Concluído,2020-06-17T21:19:17.809-0300,3654970,2020-06-26T12:46:49.047-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-233,Concluído,2020-06-17T17:43:07.134-0300,3574234,2020-06-17T18:38:31.000-0300,Backlog,In Progress,Report an Integration Problem - Integrations CPG
RTICSD-233,Concluído,2020-06-17T17:43:07.134-0300,3575015,2020-06-17T19:34:11.688-0300,In Progress,Waiting for response,Report an Integration Problem - Integrations CPG
RTICSD-233,Concluído,2020-06-17T17:43:07.134-0300,3588999,2020-06-18T21:57:25.204-0300,Waiting for response,QA,Report an Integration Problem - Integrations CPG
RTICSD-233,Concluído,2020-06-17T17:43:07.134-0300,3589000,2020-06-18T21:57:27.266-0300,QA,Done,Report an Integration Problem - Integrations CPG
RTICSD-232,Concluído,2020-06-17T17:13:01.771-0300,3573762,2020-06-17T18:13:18.017-0300,Backlog,In Progress,Change Scheduling of Integration  CPG
RTICSD-232,Concluído,2020-06-17T17:13:01.771-0300,3573793,2020-06-17T18:15:46.680-0300,In Progress,Developers Analysis,Change Scheduling of Integration  CPG
RTICSD-232,Concluído,2020-06-17T17:13:01.771-0300,3578757,2020-06-18T11:09:50.571-0300,Developers Analysis,QA,Change Scheduling of Integration  CPG
RTICSD-232,Concluído,2020-06-17T17:13:01.771-0300,3581527,2020-06-18T14:02:53.399-0300,QA,Done,Change Scheduling of Integration  CPG
RTICSD-231,Concluído,2020-06-17T16:32:41.352-0300,3571181,2020-06-17T16:46:15.643-0300,Backlog,In Progress,Add New Stores to Integrations CPG
RTICSD-231,Concluído,2020-06-17T16:32:41.352-0300,3574140,2020-06-17T18:33:01.305-0300,In Progress,Waiting for response,Add New Stores to Integrations CPG
RTICSD-231,Concluído,2020-06-17T16:32:41.352-0300,3594629,2020-06-19T15:09:39.780-0300,Waiting for response,QA,Add New Stores to Integrations CPG
